Electoral District Name/Nom de circonscription,Candidate/Candidat,Party (French),Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Region
Coast of Bays--Central--Notre Dame,Scott Simms ** Liberal,Libéral,14646,46,Newfoundland and Labrador
Aurora--Oak Ridges--Richmond Hill,Leona Alleslev ** Conservative,Conservateur,19304,42.1,Durham and York Region
Davenport,Alejandra Bravo NDP-New Democratic Party,NPD-Nouveau Parti démocratique,19854,42,Toronto 
Markham--Unionville,Bob Saroya ** Conservative,Conservateur,18959,41.9,Durham and York Region
Bonavista--Burin--Trinity,Sharon Vokey Conservative,Conservateur,12278,40.9,Newfoundland and Labrador
Vaughan--Woodbridge,Angela Panacci Conservative,Conservateur,19019,40.3,Durham and York Region
Oakville,Kerry Colborne Conservative,Conservateur,24430,40,Brampton and Mississauga and Oakville
Halifax,Lisa Roberts NDP-New Democratic Party,NPD-Nouveau Parti démocratique,20347,39.7,Nova Scotia
Long Range Mountains,Carol Anstey Conservative,Conservateur,14344,39.4,Newfoundland and Labrador
Gaspésie--Les Îles-de-la-Madeleine,Guy Bernatchez Bloc Québécois,Bloc Québécois,14481,39.3,Eastern Quebec
Saskatoon West/Saskatoon-Ouest,Robert Doucette NDP-New Democratic Party,NPD-Nouveau Parti démocratique,13328,39.3,Saskatoon
Parkdale--High Park,Paul Taylor NDP-New Democratic Party,NPD-Nouveau Parti démocratique,20602,39.2,Toronto 
Richmond Hill,Costas Menegakis Conservative,Conservateur,17715,38.8,Durham and York Region
Mississauga--Lakeshore,Michael Ras Conservative,Conservateur,21761,38.7,Brampton and Mississauga and Oakville
Kanata--Carleton,Jennifer McAndrew Conservative,Conservateur,24373,38.6,Ottawa
Kitchener--Conestoga,Carlene Hawley Conservative,Conservateur,19448,38.2,Midwestern Southern Ontario
Oakville North--Burlington/Oakville-Nord--Burlington,Hanan Rizkalla Conservative,Conservateur,25091,38,Brampton and Mississauga and Oakville
York Centre/York-Centre,Joel Yakov Etienne Conservative,Conservateur,13949,37.8,Toronto 
Burlington,Emily Brown Conservative,Conservateur,25742,37.3,Hamilton and Burlington and Niagara
Sault Ste. Marie,Sonny Spina Conservative,Conservateur,14984,37.3,Northern Ontario
Edmonton Griesbach,Kerry Diotte ** Conservative,Conservateur,15957,37.1,Edmonton and environs
Richmond Centre/Richmond-Centre,Alice Wong ** Conservative,Conservateur,12668,37.1,Vancouver and Northern Lower Mainland 
Châteauguay--Lacolle,Patrick O'Hara Bloc Québécois,Bloc Québécois,18017,37,Montérégie
Kootenay--Columbia,Wayne Stetski NDP-New Democratic Party,NPD-Nouveau Parti démocratique,23986,36.9,Southern Interior B.C.
Eglinton--Lawrence,Geoff Pollock Conservative,Conservateur,18082,36.4,Toronto 
Sydney--Victoria,Eddie Orrell Conservative,Conservateur,13166,36.3,Nova Scotia
Calgary Skyview,Jag Sahota ** Conservative,Conservateur,17111,36.1,Calgary
Cloverdale--Langley City,Tamara Jansen ** Conservative,Conservateur,19223,36.1,Fraser Valley and Southern Lower Mainland
Skeena--Bulkley Valley,Claire Rattee Conservative,Conservateur,13513,36.1,Northern Interior B.C.
North Island--Powell River,Shelley Downey Conservative,Conservateur,21670,36,Vancouver Island 
Fredericton,Andrea Johnson Conservative,Conservateur,15814,35.9,New Brunswick
Don Valley West/Don Valley-Ouest,Yvonne Robertson Conservative,Conservateur,16695,35.5,Toronto 
Kitchener South--Hespeler/Kitchener-Sud--Hespeler,Tyler Calver Conservative,Conservateur,17649,35.5,Midwestern Southern Ontario
South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest,Helena Konanz Conservative,Conservateur,23675,35.5,Southern Interior B.C.
Argenteuil--La Petite-Nation,Yves Destroismaisons Bloc Québécois,Bloc Québécois,17842,35.3,Laurentides and Outaouais and Northern Quebec
Longueuil--Charles-LeMoyne,Nathalie Boisclair Bloc Québécois,Bloc Québécois,16926,35.3,Montérégie
Cape Breton--Canso,Fiona MacLeod Conservative,Conservateur,13805,35.1,Nova Scotia
Etobicoke Centre/Etobicoke-Centre,Geoffrey Turner Conservative,Conservateur,20108,34.9,Toronto 
Brome--Missisquoi,Marilou Alarie Bloc Québécois,Bloc Québécois,21291,34.6,Eastern Townships
Spadina--Fort York,Norm Di Pasquale NDP-New Democratic Party,NPD-Nouveau Parti démocratique,16834,34.5,Toronto 
Regina--Lewvan,Tria Donaldson NDP-New Democratic Party,NPD-Nouveau Parti démocratique,15763,34.5,Regina
Cambridge,Connie Cody Conservative,Conservateur,18876,34.4,Midwestern Southern Ontario
Mississauga--Streetsville,Jasveen Rattan Conservative,Conservateur,17131,34.2,Brampton and Mississauga and Oakville
Willowdale,Daniel Lee Conservative,Conservateur,13916,33.9,Toronto 
Winnipeg South/Winnipeg-Sud,Melanie Maher Conservative,Conservateur,15967,33.8,Winnipeg
Delta,Garry Shearer Conservative,Conservateur,17695,33.8,Fraser Valley and Southern Lower Mainland
Nepean,Matt Triemstra Conservative,Conservateur,22184,33.7,Ottawa
Dartmouth--Cole Harbour,Kevin Payne NDP-New Democratic Party,NPD-Nouveau Parti démocratique,15267,33.5,Nova Scotia
Berthier--Maskinongé,Ruth Ellen Brosseau NDP-New Democratic Party,NPD-Nouveau Parti démocratique,18402,33.5,Central Quebec
Steveston--Richmond East/Steveston--Richmond-Est,Kenny Chiu ** Conservative,Conservateur,13066,33.5,Vancouver and Northern Lower Mainland 
Vancouver Granville,Anjali Appadurai NDP-New Democratic Party,NPD-Nouveau Parti démocratique,16619,33.5,Vancouver and Northern Lower Mainland 
Chicoutimi--Le Fjord,Julie Bouchard Bloc Québécois,Bloc Québécois,14027,33.4,Côte-Nord and Saguenay
Glengarry--Prescott--Russell,Susan McArthur Conservative,Conservateur,21979,33.3,Eastern Ontario 
